client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
78ec814c3a17086bfbff13323ae5d1d38a57f64e0d157b5b4fa7017bf4ecff7749985ef359c1d397f59c193f7d7f2f5f39454d128cd055bcb50480ef80819139	common_voice_ca_34929701.mp3	Dimarts na Dèlia i na Núria aniran a Poboleda.	2	2	seventies	female	central	ca	
f29b4f7594661cf3f04c366288486cc78dc42f76538c2ccf056246528b5aaf36ca08acfd15f507ad1c8a678ab9742200c4147f4e2fcd0384f1f91883965fc93c	common_voice_ca_34934161.mp3	La ciutat de Munger és la seu administrativa del districte.	0	4	fourties	male	Català de Mallorca 	ca	
978e660437401f6ca9572315fb66ff657ae381d11cc28ec552a3b63c7d2a1ce672e372a3c79c506aeee8140ea5115febc6cbdcd2fad1fa3b0efbaf8bacd69fef	common_voice_ca_34934971.mp3	Debutaren els esports de l'hípica, el golf, l'handbol, el rem, i l'hoquei sobre herba femení.	1	2				ca	
2b59e9f830e5ea00c500b63eff4e72553e0c2608f5741d35c226e733400412014d7697bd6efb67bc61b19fd61e40f9ed70fde2589fe0b5498915eebc1c8b5d93	common_voice_ca_34936041.mp3	La música del projecte no només es va publicar a Intastella Records.	3	3	fourties	male	nord-occidental,Tortosí	ca	
2b59e9f830e5ea00c500b63eff4e72553e0c2608f5741d35c226e733400412014d7697bd6efb67bc61b19fd61e40f9ed70fde2589fe0b5498915eebc1c8b5d93	common_voice_ca_34936973.mp3	Per Cap d'Any na Joana voldria anar a Poboleda.	0	3	fourties	male	nord-occidental,Tortosí	ca	
967d23f93251965620d2a692969aabb61ca641776419f0a4001c980423feaa663a26e822238755637c0b1e62247f848ddc2b75a6bfe55af50caa5a4ff6b28ca2	common_voice_ca_34938279.mp3	A veure si al maleït coix li trenco jo l'altra cama!	0	4	sixties		valencià	ca	
7073b04a40b4382289b04c268879bd411725a5d093ee351809772d32362388c0f4a4b842ac216b26c427e8e90a5336778888f1cdbbbd3957882e39bfa261e6df	common_voice_ca_34951540.mp3	El deu d'agost en Juli i na Nit iran a Figueres.	0	6	fourties	female	balear,mallorquí	ca	
c151beb5a3cdfbe4d272fd5dd9fad5fe6bdb1b1afd58c3939d58693702a6bbaf3f5ef2d77e03d5fd3e3fc592cf32910afd22095356e27d0d589395392fe55c05	common_voice_ca_34954299.mp3	Econòmicament predomina l'agricultura de secà amb conreu de cereals, raïm, olivera, pomeres i ametlers.	0	2			central	ca	
e2149bbcce2cefa64933ebbd2df8b55a5db7863a7d54f883bc4603040bfbcafe43288707278b223eb9b77d89b01d606a70cc737cd2078018c3813037c0885580	common_voice_ca_34956190.mp3	L'11 de gener és Cap d'Any.	0	2	sixties	male		ca	
bfe8d96ce71f9cce7bd16b5282041c66773405f1a11f4f0c8d3b6e81646f262bdac0cb3ee8f54e13175ba9ed7da38407e8a9aeff20972271f0c62c0b19f8b644	common_voice_ca_34957951.mp3	El nou d'octubre na Lis irà a la platja.	0	2	sixties	male	central	ca	
978e660437401f6ca9572315fb66ff657ae381d11cc28ec552a3b63c7d2a1ce672e372a3c79c506aeee8140ea5115febc6cbdcd2fad1fa3b0efbaf8bacd69fef	common_voice_ca_34962037.mp3	El nou d'octubre en Guiu i na Sira aniran als Pallaresos.	1	2				ca	
0838f3bf125f42e1c1689e0026ba38d20ff64c6466fc5597a862f7718b05606511ab2daed1de0c0bc13715826288395baa3ab969648a7c3dafee7b93cadb4217	common_voice_ca_34964355.mp3	Com puc arribar a la plaça de Ramon Calsina número dinou?	0	2				ca	
be915edb40ab82d6d209db3d60143505ce2eb9dd55c1d1c76adc03c26d2ede0ae737313db4395b40c61a8e72161ab660fa115a87a02027fb9933fd5b315405c0	common_voice_ca_34967948.mp3	Maria Rosa Tarragó Daussà és una empresària nascuda a Palafrugell.	0	2	thirties	male	central	ca	
be915edb40ab82d6d209db3d60143505ce2eb9dd55c1d1c76adc03c26d2ede0ae737313db4395b40c61a8e72161ab660fa115a87a02027fb9933fd5b315405c0	common_voice_ca_34967990.mp3	Divendres na Dolça i en Marc aniran al metge.	0	2	thirties	male	central	ca	
be915edb40ab82d6d209db3d60143505ce2eb9dd55c1d1c76adc03c26d2ede0ae737313db4395b40c61a8e72161ab660fa115a87a02027fb9933fd5b315405c0	common_voice_ca_34968312.mp3	La Buffy i el Giles esbrinen que el First Evil ha estat tornant boig l'Angel.	4	4	thirties	male	central	ca	
