start	end	text
0	5660	Buenas noches, me alegra mucho poder estar en vuestros hogares y seguir cumpliendo con
5660	12040	esta tradición de transmitiros mis mejores deseos, sobre todo de paz, en esta Nochebuena.
12040	16320	Y también de compartir con vosotros algunas reflexiones sobre los acontecimientos más
16320	20000	relevantes del año que ahora termina.
20000	26200	El 2022 ha sido, está siendo todavía, complicado y difícil.
26200	31440	Como no han sido nada fáciles los últimos años, cuando creíamos haber superado lo
31440	40000	peor de la pandemia, sin duda la mejor noticia, en el mes de febrero Rusia invadió Ucrania.
40000	45760	Y desde entonces hemos sido testigos de diez meses de una guerra que ya ha causado un nivel
45760	51920	de destrucción y ruina difíciles de imaginar en nuestra realidad cotidiana.
51920	58480	Hemos vivido el sufrimiento del pueblo ucraniano y seguimos sintiendo con una profunda tristeza
58480	60880	la pérdida de miles de vidas humanas.
60880	69400	A los ucranianos refugiados en nuestro país y a todos sus compatriotas les enviamos, especialmente
69400	74160	hoy, nuestro recuerdo y afecto.
74160	79000	Estamos así ante una nueva guerra en Europa, en las fronteras de algunos de nuestros socios
79000	86440	europeos y aliados y por tanto cerca de nosotros y que no solo afecta a Ucrania sino que tiene
86440	89240	una trascendencia global.
89240	92480	Por ello nuestra seguridad también se ha visto afectada.
92480	98640	España además de reforzar con nuestros aliados la capacidad de defensa colectiva, se ha unido
98640	105160	a la inmensa mayoría de la comunidad internacional para apoyar a Ucrania y para reafirmar su
105160	111840	compromiso de que la soberanía, la integridad territorial y la independencia de los estados
111840	118960	son principios irrenunciables de un orden internacional basado en reglas y que siempre
118960	122160	debe buscar la paz.
122160	127640	En ese sentido la cumbre de la OTAN que se celebró en España, en Madrid, sirvió para
127640	134080	reforzar la unidad de todos los miembros de la Alianza y también de la Unión Europea.
134080	139080	Esta guerra, junto a los efectos también de la pandemia, está teniendo además como
139080	144200	es evidente un profundo impacto sobre la economía.
144200	151280	Ha provocado una crisis energética con consecuencias graves en la industria, el comercio, el transporte
151280	155400	y particularmente en las economías familiares.
155400	160960	La subida de los precios, especialmente de los alimentos, provoca inseguridad en los
160960	162960	hogares.
163000	169000	Tal que hacer frente a gestos cotidianos como encender la calefacción o la luz o llenar
169000	175240	el depósito de gasolina, acaba siendo una fuente de preocupación e implica en muchos
175240	179920	casos importantes sacrificios personales y familiares.
179920	186240	Porque en efecto hay familias que no pueden afrontar esta situación de una manera prolongada
186240	192680	y necesitan el apoyo continuo de los poderes públicos para paliar sus efectos económicos
192680	195160	y sociales.
195160	200400	Todo el nuevo escenario que vivimos, la guerra, la situación económica y social, la inestabilidad
200400	207640	y las tensiones en las relaciones internacionales, está causando en nuestra sociedad lógicamente
207640	210720	una gran preocupación e incertidumbre.
210720	217480	No podemos ignorar la seriedad de estos problemas, pero tampoco podemos renunciar a que las cosas
217480	220640	puedan cambiar y mejorar.
220640	227120	Lo primero y una vez más, debemos tener confianza en nosotros mismos, como nación.
227120	232160	La transformación y la modernización de España de las últimas cuatro décadas, gracias
232160	237600	al éxito de nuestra transición a la democracia y a la aprobación de nuestra Constitución,
237600	239800	avala esa confianza.
239800	244840	Como también la justifica la superación de otras crisis económicas, sociales o institucionales
244840	249240	que hemos vivido, la más reciente, la del COVID.
249240	256440	Somos un país que, como ahora, siempre ha sabido responder, no sin dificultades ni sacrificios,
256440	263040	a todas las adversidades que no han sido pocas a lo largo de estos años.
263040	269600	Además de creer en nosotros mismos, en nuestra capacidad, necesitamos siempre, pero más
269600	278180	aún en tiempos difíciles, el mayor compromiso de todos con nuestra democracia y con Europa,
278180	284380	con la Unión Europea, que son las dos columnas vertebrales sobre las que se asientan nuestro
284380	288380	presente y nuestro futuro.
288380	294180	Las democracias en el mundo están expuestas a muchos riesgos, que no son nuevos, pero
294180	300100	cuando hoy en día los sufren, adquieren una particular intensidad.
300100	305900	Y España no es una excepción, pero hay tres sobre los que quiero detenerme porque me
305900	308380	parecen muy importantes.
308380	315580	La división es uno de ellos, el deterioro de la convivencia es otro, la erosión de
315580	319620	las instituciones es el tercero.
319620	326740	Un país o una sociedad dividida o enfrentada no avanza, no progresa ni resuelve bien sus
326740	330540	problemas, no genera confianza.
330540	339180	La división hace más frágiles a las democracias, la unión, todo lo contrario, las fortalece.
339180	345100	En España lo sabemos por experiencia propia, nuestra Constitución, fruto del diálogo
345100	350540	y del entendimiento, representa la unión lograda entre los españoles como apuesta
350540	355860	de futuro, de diversidad y de concordia para una joven democracia.
356700	363100	Hoy, con el paso de todos estos años, nuestros valores constitucionales están enraizados
363100	369700	en nuestra sociedad y son por ello la referencia a donde los españoles debemos seguir encontrando
369700	377360	la unión que nos asegura estabilidad, cohesión y progreso y que nos garantiza una convivencia
