start	end	text
0	1000	Buenas noches.
1080	3520	Me alegra mucho poder estar en vuestros hogares
3600	6360	y seguir cumpliendo con esta tradición
6440	8720	de transmitiros mis mejores deseos,
8800	12000	sobre todo de paz, en esta Nochebuena.
12080	14960	Y también de compartir con vosotros algunas reflexiones
15040	19840	sobre los acontecimientos más relevantes del año que ahora termina.
19920	26120	El 2022 ha sido, está siendo todavía, complicado y difícil.
26200	29520	Como no han sido nada fáciles los últimos años,
29600	32840	cuando creíamos haber superado lo peor de la pandemia,
32920	35720	sin duda la mejor noticia,
35800	39920	en el mes de febrero Rusia invadió Ucrania.
40000	43680	Y desde entonces hemos sido testigos de diez meses
43760	47640	de una guerra que ya ha causado un nivel de destrucción y ruina
47720	51600	difíciles de imaginar en nuestra realidad cotidiana.
51680	54720	Hemos vivido el sufrimiento del pueblo ucraniano
54800	58400	y seguimos sintiendo con una profunda tristeza
58480	62080	la pérdida de miles de vidas humanas.
62160	65880	A los ucranianos refugiados en nuestro país
65960	70160	y a todos sus compatriotas les enviamos, especialmente hoy,
70240	73840	nuestro recuerdo y afecto.
73920	76320	Estamos así ante una nueva guerra en Europa,
76400	80600	en las fronteras de algunos de nuestros socios europeos y aliados,
80680	83080	y por tanto cerca de nosotros.
83160	85440	Y que no solo afecta a Ucrania,
85480	88960	sino que tiene una trascendencia global.
89040	92320	Por ello nuestra seguridad también se ha visto afectada.
92400	95440	España, además de reforzar con nuestros aliados
95520	97920	la capacidad de defensa colectiva,
98000	101240	se ha unido a la inmensa mayoría de la comunidad internacional
101320	103600	para apoyar a Ucrania
103680	107960	y para reafirmar su compromiso de que la soberanía,
108040	111720	la integridad territorial y la independencia de los estados
111840	117560	son principios irrenunciables de un orden internacional basado en reglas
117640	121920	y que siempre debe buscar la paz.
122000	126960	En ese sentido, la cumbre de la OTAN que se celebró en España, en Madrid,
127040	130640	sirvió para reforzar la unidad de todos los miembros de la Alianza
130720	133720	y también de la Unión Europea.
133800	137720	Esta guerra, junto a los efectos también de la pandemia,
137800	140360	está teniendo además, como es evidente,
140440	144040	un profundo impacto sobre la economía.
144120	146680	Ha provocado una crisis energética
146760	151160	con consecuencias graves en la industria, el comercio, el transporte
151240	155160	y, particularmente, en las economías familiares.
155240	159000	La subida de los precios, especialmente de los alimentos,
159080	162600	provoca inseguridad en los hogares.
162680	165360	Tener que hacer frente a gestos cotidianos
165440	168480	como encender la calefacción o la luz
168560	170560	o llenar el depósito de gasolina
170640	173640	acaba siendo una fuente de preocupación
173720	176080	e implica, en muchos casos,
176160	179640	importantes sacrificios personales y familiares.
179720	184120	Porque, en efecto, hay familias que no pueden afrontar esta situación
184200	186120	de una manera prolongada
186200	190200	y necesitan el apoyo continuo de los poderes públicos
190280	194880	para paliar sus efectos económicos y sociales.
194960	196880	Todo el nuevo escenario que vivimos,
196960	199040	la guerra, la situación económica y social,
199120	203760	la inestabilidad y las tensiones en las relaciones internacionales,
203840	206240	está causando, en nuestra sociedad,
206320	210640	lógicamente, una gran preocupación e incertidumbre.
210720	213840	No podemos ignorar la seriedad de estos problemas,
213920	216800	pero tampoco podemos renunciar
216880	220480	a que las cosas puedan cambiar y mejorar.
220560	222600	Lo primero y, una vez más,
222680	226960	debemos tener confianza en nosotros mismos, como nación.
227040	229440	La transformación y la modernización de España
229520	231400	de las últimas cuatro décadas,
231480	234920	gracias al éxito de nuestra transición a la democracia
235000	237400	y a la aprobación de nuestra Constitución,
237480	239560	avala esa confianza.
239640	243360	Como también la justifica la superación de otras crisis económicas,
243440	245760	sociales o institucionales que hemos vivido,
245840	248840	la más reciente, la del COVID.
248920	253360	Somos un país que, como ahora, siempre ha sabido responder,
253440	256360	no sin dificultades ni sacrificios,
256440	259480	a todas las adversidades que no han sido pocas
259560	262600	a lo largo de estos años.
262680	268040	Además de creer en nosotros mismos, en nuestra capacidad,
